pid,batRI,bowlRI,clusterRI
3.0,0.07614666583231393,0.18048218543883376,0
6.0,-0.1236842105263158,0.34903846153846163,0
9.0,-0.04223136476460378,0.46415347456276024,4
12.0,-0.2,1.6471881390593046,1
13.0,-0.1,-0.07439779766001378,0
15.0,-0.0064979940633825605,0.05343540963218364,0
18.0,-0.1726729760384073,1.3233635948310571,1
21.0,-0.1569292123629113,0.0,0
22.0,0.01874490627546862,8.386234005752256e-19,0
23.0,-0.18379422977328863,1.088079469089189,4
24.0,0.013066871637202163,5.859633716534214e-19,0
28.0,-0.1299527137292927,-0.007544233656953299,0
29.0,-0.17283195525245448,2.2033884555178482,1
31.0,-0.10955552359033371,0.6679254571026724,4
32.0,-0.09749702026221692,1.553256704980843,1
37.0,-0.09488636363636364,-1.7207374330454417e-19,0
38.0,-0.07443885356672321,0.09471267273340074,0
42.0,-0.13458806818181818,0.3593715470304879,0
58.0,-0.08666666666666667,1.6704188481675395,1
59.0,-0.09615535495785371,0.6058949169029766,4
60.0,-0.1,0.4875,4
63.0,-0.0418721347922622,0.5737356604832015,4
64.0,0.03860045146726861,0.0,0
65.0,-0.33974398221651864,3.062284498985957,2
68.0,-0.033638443935926785,0.0,0
69.0,-0.13714262825105183,-0.0016109184472536074,0
71.0,0.013164556962025318,4.1119371282413207e-19,0
77.0,-0.07305793476639309,0.5443474127792487,4
78.0,-0.16928291729609699,0.7403160799307326,4
79.0,-0.07379033097418816,0.5856992682976208,4
81.0,0.04786858260588909,0.07060402980216698,0
88.0,-0.11789686552072802,-7.0528954466877415e-19,0
92.0,-0.14740458015267177,0.7820304487179486,4
94.0,-0.017707443015440326,-1.5350987405610993e-19,0
95.0,-0.07510500730317866,0.3535565760904291,0
96.0,-0.07491002570694087,0.4598824786324786,4
100.0,-0.002301175053412493,-0.0016821273964131112,0
101.0,-0.09879601826400101,0.0,0
102.0,-0.2022314049586777,1.4298547900878891e-18,0
107.0,-0.22824873922151429,0.7353199563675794,4
108.0,-0.09050379414728331,0.2745327791463087,0
109.0,-0.017696341345413202,0.02613787781049983,0
110.0,0.12797965116279075,-3.5264477233438707e-19,0
120.0,-0.08999137367236505,0.7971703236614293,4
124.0,-0.1,-0.056382145653876274,0
129.0,-0.27519228133193685,1.7771636777534385,1
135.0,-0.12940148863889947,-6.204976174930243e-20,0
161.0,-0.1263208852450922,0.7709950227368262,4
168.0,-0.1,1.0731182795698924,4
169.0,-0.3659350250762043,2.6705294459332842,2
170.0,-0.1,-0.11651504548635412,0
173.0,-0.09313377461913402,0.0,0
181.0,-0.0834087786663062,0.9613982322109526,4
185.0,-0.24903882855246112,2.62887755555161,2
190.0,-0.18810353191648155,1.0761206108994691e-18,0
192.0,-0.11678743961352657,4.628140534944328e-19,0
205.0,-0.0889133283812198,-9.611550032827005e-19,0
209.0,-0.0027162710034359418,0.4062684909171394,4
212.0,-0.039262157856418484,1.5855038863777895,1
218.0,-0.14496961521186316,0.0,0
221.0,-0.10598602676177005,0.8593077951464488,4
222.0,-0.08854489164086687,1.0381156316916489,4
226.0,-0.13782570963229668,0.5147792426386654,4
227.0,-0.18225238337012115,0.8858477147605694,4
