,batAGR,batRI,bowlAGR,bowlRI,pid,series_code
8235,-192.83540532997765,-0.38860366853569644,-1463.3156780236186,-2.9955863628911468,2152.0,528.0
8236,31.81318154379407,0.06411021375745574,-5.824460431654678,-0.011923383656921513,2261.0,528.0
8237,85.65016138760623,0.172602986826735,-247.16340437084295,-0.5059737517054722,2982.0,528.0
8238,-19.602628483935135,-0.039503395804127844,0.0,0.0,3056.0,528.0
8239,-158.56832268949307,-0.3195483308951762,0.0,0.0,289.0,528.0
8240,71.39415879203088,0.1438741603033322,0.0,0.0,549.0,528.0
8241,100.87164610645607,0.2032774617354438,-1216.2745758110493,-2.489862978678471,550.0,528.0
8242,-50.5209381717403,-0.10181025563126372,-571.135441835211,-1.1691841798866816,2065.0,528.0
8243,-78.82411320278496,-0.15884707223374916,-197.11016696077104,-0.4035086461537607,2194.0,528.0
8244,-37.19611190499728,-0.07495794414315042,56.335251798561146,0.11532515818168176,2222.0,528.0
8245,-9.181458667852189,-0.018502559292629887,0.0,0.0,2926.0,528.0
8246,-66.17609887949844,-0.13335867835032006,0.0,0.0,2961.0,528.0
8247,1.9529759504491082,0.003935654957178811,0.0,0.0,2975.0,528.0
8248,-68.53737800500332,-0.1381171495918318,-465.80019003664995,-0.9535500220912494,2984.0,528.0
8249,-54.88400389336306,-0.11060274548852632,-436.94565152909115,-0.8944812487849297,2990.0,528.0
8250,-123.28158749171138,-0.24843818011637656,0.0,0.0,1794.0,528.0
8251,-129.8714977205377,-0.26171822734557026,-1531.6215603653136,-3.135416867491758,2032.0,528.0
8252,0.0,0.0,-758.772227501018,-1.5532996545984534,2083.0,528.0
8253,0.0,0.0,-1002.6377901452421,-2.052522320498178,2124.0,528.0
8254,452.2388575708,0.911355872671194,0.0,0.0,2129.0,528.0
8255,-192.83540532997765,-0.38860366853569644,-1463.3156780236186,-2.9955863628911468,2152.0,528.0
8256,152.56847107541142,0.3074573751709812,-294.7432604859509,-0.6033755429028735,2211.0,528.0
8257,31.81318154379407,0.06411021375745574,-5.824460431654678,-0.011923383656921513,2261.0,528.0
8258,-45.19611190499728,-0.0910796171469527,0.0,0.0,2262.0,528.0
8259,0.0,0.0,-1366.7403002312037,-2.797884739754878,2264.0,528.0
8260,-19.602628483935135,-0.039503395804127844,0.0,0.0,3056.0,528.0
8261,-158.56832268949307,-0.3195483308951762,0.0,0.0,289.0,528.0
8262,71.39415879203088,0.1438741603033322,0.0,0.0,549.0,528.0
8263,100.87164610645607,0.2032774617354438,-1216.2745758110493,-2.489862978678471,550.0,528.0
8264,-78.82411320278496,-0.15884707223374916,-197.11016696077104,-0.4035086461537607,2194.0,528.0
8265,-78.82232660666705,-0.15884347186894882,-183.58354825573508,-0.37581800145051986,2218.0,528.0
8266,-16.976413782265354,-0.034211023971865547,-489.02896701506717,-1.0011021727230034,2690.0,528.0
8267,-9.181458667852189,-0.018502559292629887,0.0,0.0,2926.0,528.0
8268,-66.17609887949844,-0.13335867835032006,0.0,0.0,2961.0,528.0
8269,1.9529759504491082,0.003935654957178811,0.0,0.0,2975.0,528.0
8270,-68.53737800500332,-0.1381171495918318,-465.80019003664995,-0.9535500220912494,2984.0,528.0
8271,-54.88400389336306,-0.11060274548852632,-436.94565152909115,-0.8944812487849297,2990.0,528.0
8272,-113.16001951443727,-0.22804110396445534,-1516.9487715487985,-3.105379872231994,29.0,528.0
8273,-123.28158749171138,-0.24843818011637656,0.0,0.0,1794.0,528.0
8274,-129.8714977205377,-0.26171822734557026,-1531.6215603653136,-3.135416867491758,2032.0,528.0
8275,0.0,0.0,-1002.6377901452421,-2.052522320498178,2124.0,528.0
8276,452.2388575708,0.911355872671194,0.0,0.0,2129.0,528.0
8277,-192.83540532997765,-0.38860366853569644,-1463.3156780236186,-2.9955863628911468,2152.0,528.0
8278,152.56847107541142,0.3074573751709812,-294.7432604859509,-0.6033755429028735,2211.0,528.0
8279,31.81318154379407,0.06411021375745574,-5.824460431654678,-0.011923383656921513,2261.0,528.0
8280,-45.19611190499728,-0.0910796171469527,0.0,0.0,2262.0,528.0
8281,0.0,0.0,-1366.7403002312037,-2.797884739754878,2264.0,528.0
8282,-19.602628483935135,-0.039503395804127844,0.0,0.0,3056.0,528.0
8283,-158.56832268949307,-0.3195483308951762,0.0,0.0,289.0,528.0
8284,71.39415879203088,0.1438741603033322,0.0,0.0,549.0,528.0
8285,100.87164610645607,0.2032774617354438,-1216.2745758110493,-2.489862978678471,550.0,528.0
8286,6.798528306648986,0.013700456283361076,-517.5555857201032,-1.0594996540426986,2019.0,528.0
8287,-50.5209381717403,-0.10181025563126372,-571.135441835211,-1.1691841798866816,2065.0,528.0
8288,-78.82232660666705,-0.15884347186894882,-183.58354825573508,-0.37581800145051986,2218.0,528.0
8289,-16.976413782265354,-0.034211023971865547,-489.02896701506717,-1.0011021727230034,2690.0,528.0
8290,-9.181458667852189,-0.018502559292629887,0.0,0.0,2926.0,528.0
8291,-66.17609887949844,-0.13335867835032006,0.0,0.0,2961.0,528.0
8292,1.9529759504491082,0.003935654957178811,0.0,0.0,2975.0,528.0
8293,-68.53737800500332,-0.1381171495918318,-465.80019003664995,-0.9535500220912494,2984.0,528.0
8294,-0.1020134857421624,-0.0003744495006065255,-649.0459457897474,-2.436264859076049,29.0,531.0
8295,-36.69344567346674,-0.13468653000143085,0.0,0.0,986.0,531.0
8296,28.120844998186463,0.10322004281687265,0.0,0.0,1794.0,531.0
8297,-49.01874897951157,-0.17992764331303068,-1439.106228782775,-5.401842437201946,1959.0,531.0
8298,51.11843138166289,0.1876347128362214,0.0,0.0,2031.0,531.0
8299,-99.36348953609539,-0.36472245570896183,-903.7577876668786,-3.3923535821952133,2032.0,531.0
8300,-13.877604058038026,-0.05093897018950428,0.0,0.0,2129.0,531.0
8301,-3.8173100262715027,-0.014011773272902456,-207.77269837600414,-0.7798975203719116,2191.0,531.0
8302,-18.85816680749902,-0.06922056522281993,0.0,0.0,2211.0,531.0
8303,-78.42533451163743,-0.28786711020742206,-708.0459457897474,-2.657727804215606,2264.0,531.0
8304,-21.183295711823202,-0.07775515602457457,0.0,0.0,2982.0,531.0
8305,-105.24091919241276,-0.38629607985920916,-806.687742010056,-3.0279905619241756,458.0,531.0
8306,35.73326538022554,0.13116210351329843,0.0,0.0,1465.0,531.0
