series_code,match_code,team,pid,name,notout,runs,ballfaced,fours,sixes,overs,maiden_overs,runs_given,wickets_taken
2509,17174,Vidarbha,8949,Akshay Wakhare,0,9,9,2,0,10.0,0,41,1
2509,17174,Vidarbha,9002,Ravikumar Thakur,0,1,7,0,0,9.0,0,46,1
2509,17174,Vidarbha,10214,Jitesh Sharma,0,33,30,6,0,0.0,0,0,0
2509,17174,Vidarbha,10885,Akshay Karnewar,0,11,22,0,1,9.0,0,39,1
2509,17174,Vidarbha,10887,Rajneesh Gurbani,0,4,11,0,0,7.0,0,43,0
2509,17174,Vidarbha,12096,Yash Thakur,0,2,3,0,0,5.1,0,40,0
2509,17174,Vidarbha,12655,Rushabh Rathod,0,3,6,0,0,0.0,0,0,0
2509,17185,Vidarbha,574,S Badrinath,0,43,56,5,0,0.0,0,0,0
2509,17187,Vidarbha,1596,Faiz Fazal,0,58,104,4,0,0.0,0,0,0
2509,17187,Vidarbha,2215,Ganesh Satish,0,3,10,0,0,0.0,0,0,0
2509,17187,Vidarbha,8273,Wankhade,0,62,46,2,3,0.0,0,0,0
2509,17187,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,7.0,0,42,1
2509,17187,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,8.0,1,24,2
2509,17187,Vidarbha,10214,Jitesh Sharma,0,19,24,3,0,0.0,0,0,0
2509,17187,Vidarbha,10885,Akshay Karnewar,0,54,30,1,5,9.0,0,48,2
2509,17187,Vidarbha,10887,Rajneesh Gurbani,1,0,0,0,0,6.0,0,29,0
2509,17187,Vidarbha,12096,Yash Thakur,1,0,0,0,0,8.4,0,64,3
2509,17187,Vidarbha,12653,Abhishek Vivek Chaurasia,0,25,40,2,0,4.0,0,20,0
2509,17197,Vidarbha,574,S Badrinath,0,22,18,2,0,0.0,0,0,0
2509,17221,Vidarbha,574,S Badrinath,0,6,9,1,0,0.0,0,0,0
2509,17224,Vidarbha,1596,Faiz Fazal,0,16,29,2,0,0.0,0,0,0
2509,17224,Vidarbha,2215,Ganesh Satish,0,27,49,3,0,0.0,0,0,0
2509,17224,Vidarbha,8273,Wankhade,1,0,0,0,0,0.0,0,0,0
2509,17224,Vidarbha,8949,Akshay Wakhare,1,0,0,0,0,10.0,0,47,1
2509,17224,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,9.3,4,18,2
2509,17224,Vidarbha,10214,Jitesh Sharma,0,70,71,8,1,0.0,0,0,0
2509,17224,Vidarbha,10885,Akshay Karnewar,1,0,0,0,0,10.0,2,21,4
2509,17224,Vidarbha,10887,Rajneesh Gurbani,1,0,0,0,0,5.0,0,16,0
2509,17224,Vidarbha,12096,Yash Thakur,1,0,0,0,0,5.0,0,23,0
2509,17224,Vidarbha,12653,Abhishek Vivek Chaurasia,0,9,23,1,0,6.0,0,35,1
2509,17236,Vidarbha,1596,Faiz Fazal,0,0,2,0,0,0.0,0,0,0
2509,17236,Vidarbha,2215,Ganesh Satish,0,78,116,4,1,0.0,0,0,0
2509,17236,Vidarbha,8273,Wankhade,0,64,45,2,4,0.0,0,0,0
2509,17236,Vidarbha,8949,Akshay Wakhare,0,4,6,0,0,10.0,0,38,3
2509,17236,Vidarbha,9002,Ravikumar Thakur,0,0,0,0,0,6.3,0,23,1
2509,17236,Vidarbha,10214,Jitesh Sharma,0,2,7,0,0,0.0,0,0,0
2509,17236,Vidarbha,10885,Akshay Karnewar,0,27,43,3,0,10.0,1,29,4
2509,17236,Vidarbha,10887,Rajneesh Gurbani,0,12,13,0,0,7.0,1,32,1
2509,17236,Vidarbha,12096,Yash Thakur,0,1,1,0,0,7.0,0,40,1
2509,17236,Vidarbha,12653,Abhishek Vivek Chaurasia,0,7,29,0,0,2.0,0,7,0
2509,17245,Vidarbha,574,S Badrinath,0,18,60,1,0,0.0,0,0,0
2509,17247,Vidarbha,1596,Faiz Fazal,0,3,13,0,0,0.0,0,0,0
2509,17247,Vidarbha,2215,Ganesh Satish,0,73,92,6,0,0.0,0,0,0
2509,17247,Vidarbha,8273,Wankhade,0,32,27,0,3,0.0,0,0,0
2509,17247,Vidarbha,8949,Akshay Wakhare,0,1,9,0,0,10.0,0,54,1
2509,17247,Vidarbha,9002,Ravikumar Thakur,0,14,3,2,1,4.0,0,11,0
2509,17247,Vidarbha,10214,Jitesh Sharma,0,83,80,9,2,0.0,0,0,0
2509,17247,Vidarbha,10885,Akshay Karnewar,0,9,14,0,0,10.0,2,29,1
2509,17247,Vidarbha,10887,Rajneesh Gurbani,0,5,4,1,0,3.0,0,14,0
2509,17247,Vidarbha,11971,Siddesh Wath,0,35,57,3,0,0.0,0,0,0
2509,17247,Vidarbha,12096,Yash Thakur,0,0,1,0,0,4.1,1,24,0
2509,17247,Vidarbha,12653,Abhishek Vivek Chaurasia,0,1,2,0,0,10.0,1,37,6
2509,17257,Vidarbha,574,S Badrinath,0,0,2,0,0,0.0,0,0,0
2509,17260,Vidarbha,1596,Faiz Fazal,0,2,13,0,0,0.0,0,0,0
2509,17260,Vidarbha,2215,Ganesh Satish,0,35,54,3,0,0.1,0,6,0
2509,17260,Vidarbha,8949,Akshay Wakhare,0,7,10,0,0,10.0,1,43,1
2509,17260,Vidarbha,9002,Ravikumar Thakur,1,0,0,0,0,10.0,3,25,2
2509,17260,Vidarbha,9257,Ravi Jangid,0,62,87,4,1,9.0,0,39,1
2509,17260,Vidarbha,10214,Jitesh Sharma,0,7,20,1,0,0.0,0,0,0
2509,17260,Vidarbha,10885,Akshay Karnewar,0,4,11,0,0,10.0,1,25,0
2509,17260,Vidarbha,10887,Rajneesh Gurbani,0,22,70,1,0,3.0,0,11,0
2509,17260,Vidarbha,11971,Siddesh Wath,0,0,3,0,0,0.0,0,0,0
2509,17260,Vidarbha,12653,Abhishek Vivek Chaurasia,0,8,24,0,0,3.0,0,13,0
2664,19784,Vidarbha,1596,Faiz Fazal,0,9,16,1,0,0.0,0,0,0
2664,19784,Vidarbha,1858,Umesh Yadav,0,0,2,0,0,10.0,0,69,2
2664,19784,Vidarbha,2215,Ganesh Satish,0,18,21,1,0,0.0,0,0,0
2664,19784,Vidarbha,8273,Wankhade,0,51,34,6,1,0.0,0,0,0
2664,19784,Vidarbha,8949,Akshay Wakhare,0,2,3,0,0,8.0,0,56,0
2664,19784,Vidarbha,9257,Ravi Jangid,0,25,24,2,0,3.0,0,15,0
2664,19784,Vidarbha,10214,Jitesh Sharma,0,79,83,8,1,0.0,0,0,0
2664,19784,Vidarbha,10247,Sanjay Ramaswamy,0,77,86,9,0,0.0,0,0,0
2664,19784,Vidarbha,10887,Rajneesh Gurbani,0,1,4,0,0,9.0,0,52,2
2664,19784,Vidarbha,12096,Yash Thakur,0,1,2,0,0,10.0,0,45,2
2664,19796,Vidarbha,1596,Faiz Fazal,0,0,1,0,0,0.0,0,0,0
2664,19796,Vidarbha,1858,Umesh Yadav,0,0,1,0,0,6.0,1,30,2
2664,19796,Vidarbha,2215,Ganesh Satish,0,94,91,12,1,0.0,0,0,0
