batAGR,batRI,bowlAGR,bowlRI,pid,series_code
13.0,0.048507462686567165,-132.12752502547502,-0.504731632100711,29.0,191.0
8.599999999999994,0.03208955223880595,0.0,0.0,986.0,191.0
-55.39999999999999,-0.20671641791044773,0.0,0.0,1794.0,191.0
-75.39999999999999,-0.28134328358208954,-707.139303482587,-2.701296150824823,1959.0,191.0
0.0,0.0,-254.22288557213926,-0.9711400552416186,2032.0,191.0
-79.39999999999999,-0.2962686567164179,-528.4905472636816,-2.0188518358969163,2124.0,191.0
-20.4,-0.07611940298507462,0.0,0.0,2129.0,191.0
-36.400000000000006,-0.13582089552238807,-71.82786069651739,-0.2743848668372906,2152.0,191.0
32.400000000000006,0.12089552238805973,-652.3482587064676,-2.491992499303145,2191.0,191.0
-55.4,-0.20671641791044776,0.0,0.0,2211.0,191.0
-31.400000000000006,-0.11716417910447763,-4.208955223880597,-0.016078351873907205,2994.0,191.0
110.4,0.4119402985074627,-495.1174129353234,-1.8913653295491981,791.0,191.0
8.599999999999998,0.03208955223880596,0.0,0.0,1979.0,191.0
-51.6,-0.19253731343283584,-361.3791044776119,-1.3804804500418113,2007.0,191.0
-52.6,-0.1962686567164179,-681.1779185083876,-2.6021227786822956,2097.0,191.0
-14.599999999999998,-0.0544776119402985,0.0,0.0,2154.0,191.0
-65.4,-0.24402985074626868,0.0,0.0,2162.0,191.0
-47.6,-0.17761194029850746,-12.126368159203967,-0.04632313812938697,2180.0,191.0
-15.400000000000011,-0.05746268656716422,0.0,0.0,2216.0,191.0
50.6,0.18880597014925374,-604.4335728763588,-2.30895677244789,2217.0,191.0
-54.4,-0.20298507462686566,-271.8497512437811,-1.0384752806426274,3004.0,191.0
-17.799999999999997,-0.06641791044776119,-144.11144278606963,-0.5505106048703848,3005.0,191.0
8.599999999999994,0.03208955223880595,0.0,0.0,986.0,191.0
-55.39999999999999,-0.20671641791044773,0.0,0.0,1794.0,191.0
-75.39999999999999,-0.28134328358208954,-707.139303482587,-2.701296150824823,1959.0,191.0
-79.39999999999999,-0.2962686567164179,-528.4905472636816,-2.0188518358969163,2124.0,191.0
-20.4,-0.07611940298507462,0.0,0.0,2129.0,191.0
-36.400000000000006,-0.13582089552238807,-71.82786069651739,-0.2743848668372906,2152.0,191.0
32.400000000000006,0.12089552238805973,-652.3482587064676,-2.491992499303145,2191.0,191.0
-55.4,-0.20671641791044776,0.0,0.0,2211.0,191.0
-25.8,-0.09626865671641792,-749.5855680944869,-2.8634423229415886,2264.0,191.0
121.19999999999999,0.4522388059701492,32.53731343283582,0.12429364214580747,2879.0,191.0
-31.400000000000006,-0.11716417910447763,-4.208955223880597,-0.016078351873907205,2994.0,191.0
110.4,0.4119402985074627,-495.1174129353234,-1.8913653295491981,791.0,191.0
8.599999999999998,0.03208955223880596,0.0,0.0,1979.0,191.0
-51.6,-0.19253731343283584,-361.3791044776119,-1.3804804500418113,2007.0,191.0
-52.6,-0.1962686567164179,-681.1779185083876,-2.6021227786822956,2097.0,191.0
-14.599999999999998,-0.0544776119402985,0.0,0.0,2154.0,191.0
-65.4,-0.24402985074626868,0.0,0.0,2162.0,191.0
-47.6,-0.17761194029850746,-12.126368159203967,-0.04632313812938697,2180.0,191.0
-15.400000000000011,-0.05746268656716422,0.0,0.0,2216.0,191.0
50.6,0.18880597014925374,-604.4335728763588,-2.30895677244789,2217.0,191.0
-54.4,-0.20298507462686566,-271.8497512437811,-1.0384752806426274,3004.0,191.0
-34.6,-0.1291044776119403,0.0,0.0,3012.0,191.0
8.599999999999994,0.03208955223880595,0.0,0.0,986.0,191.0
-55.39999999999999,-0.20671641791044773,0.0,0.0,1794.0,191.0
-75.39999999999999,-0.28134328358208954,-707.139303482587,-2.701296150824823,1959.0,191.0
-79.39999999999999,-0.2962686567164179,-528.4905472636816,-2.0188518358969163,2124.0,191.0
-20.4,-0.07611940298507462,0.0,0.0,2129.0,191.0
-36.400000000000006,-0.13582089552238807,-71.82786069651739,-0.2743848668372906,2152.0,191.0
32.400000000000006,0.12089552238805973,-652.3482587064676,-2.491992499303145,2191.0,191.0
-55.4,-0.20671641791044776,0.0,0.0,2211.0,191.0
-25.8,-0.09626865671641792,-749.5855680944869,-2.8634423229415886,2264.0,191.0
121.19999999999999,0.4522388059701492,32.53731343283582,0.12429364214580747,2879.0,191.0
-31.400000000000006,-0.11716417910447763,-4.208955223880597,-0.016078351873907205,2994.0,191.0
110.4,0.4119402985074627,-495.1174129353234,-1.8913653295491981,791.0,191.0
8.599999999999998,0.03208955223880596,0.0,0.0,1979.0,191.0
-52.6,-0.1962686567164179,-681.1779185083876,-2.6021227786822956,2097.0,191.0
-14.599999999999998,-0.0544776119402985,0.0,0.0,2154.0,191.0
-65.4,-0.24402985074626868,0.0,0.0,2162.0,191.0
0.0,0.0,-276.8049751243781,-1.0574044041253832,2172.0,191.0
-47.6,-0.17761194029850746,-12.126368159203967,-0.04632313812938697,2180.0,191.0
-15.400000000000011,-0.05746268656716422,0.0,0.0,2216.0,191.0
50.6,0.18880597014925374,-604.4335728763588,-2.30895677244789,2217.0,191.0
-54.4,-0.20298507462686566,-271.8497512437811,-1.0384752806426274,3004.0,191.0
-34.6,-0.1291044776119403,0.0,0.0,3012.0,191.0
-36.92307692307692,-0.1119751166407465,-5.167548500881836,-0.016096996128945017,2234.0,192.0
-45.92307692307692,-0.13926905132192846,0.0,0.0,2238.0,192.0
-10.94871794871796,-0.03320373250388806,0.0,0.0,2239.0,192.0
